Reaction id	Reaction name	stoichiometry	Genes
rxn02201_c0	2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_diphosphate_4_aminobenzoate_2_amino_4_hydroxydihydropteridine_6_methenyltransferase_c0	cpd02920_c0 + cpd00443_c0 --> cpd00683_c0 + cpd00012_c0 + cpd00067_c0	6666666.378008.peg.395;
rxn00351_c0	gamma_L_glutamyl_L_cysteine_glycine_ligase_ADP_forming_c0	cpd00002_c0 + cpd00033_c0 + cpd00506_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00042_c0 + cpd00067_c0	6666666.378008.peg.84;
rxn07431_c0	R07600_c0	cpd14700_c0 + cpd00213_c0 <=> cpd02700_c0 + cpd00056_c0	6666666.378008.peg.4096;6666666.378008.peg.4095;
rxn08180_c0	Biotin_synthase_c0	cpd01311_c0 + cpd00017_c0 + cpd00074_c0 --> cpd00060_c0 + cpd00104_c0 + cpd00067_c0 + cpd03091_c0	
rxn00423_c0	acetyl_CoA_L_serine_O_acetyltransferase_c0	cpd00054_c0 + cpd00022_c0 --> cpd00010_c0 + cpd00722_c0	
rxn00364_c0	ATP_CMP_phosphotransferase_c0	cpd00002_c0 + cpd00046_c0 + cpd00067_c0 <=> cpd00008_c0 + cpd00096_c0	6666666.378008.peg.281;
rxn05561_c0	Transport_of_dicarboxylates__extracellular_c0	cpd00106_e0 + cpd00067_e0 <=> cpd00067_c0 + cpd00106_c0	6666666.378008.peg.1430;
rxn03408_c0	UDP_N_acetyl_D_glucosamine_undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_gamma_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_4_beta_N_acetylglucosaminlytransferase_c0	cpd00037_c0 + cpd03494_c0 <=> cpd03495_c0 + cpd00014_c0	6666666.378008.peg.16;
rxn05250_c0	FACOAL160ISO_c0	cpd00002_c0 + cpd11440_c0 + cpd00010_c0 --> cpd00018_c0 + cpd11441_c0 + cpd00012_c0	6666666.378008.peg.1620;6666666.378008.peg.1615;6666666.378008.peg.3375;6666666.378008.peg.3057;
rxn00646_c0	L_glutamate_L_cysteine_gamma_ligase_ADP_forming_c0	cpd00084_c0 + cpd00002_c0 + cpd00023_c0 --> cpd00506_c0 + cpd00067_c0 + cpd00008_c0 + cpd00009_c0	6666666.378008.peg.3845;
rxn05440_c0	7_methyl_trans_oct_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00067_c0 + cpd11527_c0 + cpd00004_c0 --> cpd11528_c0 + cpd00003_c0	6666666.378008.peg.1675;6666666.378008.peg.1473;6666666.378008.peg.3316;6666666.378008.peg.557;
rxn01673_c0	ATP_dCDP_phosphotransferase_c0	cpd00002_c0 + cpd00533_c0 <=> cpd00356_c0 + cpd00008_c0	6666666.378008.peg.341;
rxn00247_c0	ATP_oxaloacetate_carboxy_lyase_transphosphorylatingphosphoenolpyruvate_forming_c0	cpd00002_c0 + cpd00032_c0 --> cpd00061_c0 + cpd00011_c0 + cpd00008_c0	6666666.378008.peg.2761;
rxn05625_c0	nitrite_transport_in_via_proton_symport__reversible_c0	cpd00075_e0 + cpd00067_e0 <=> cpd00067_c0 + cpd00075_c0	6666666.378008.peg.4593;
rxn02342_c0	R03270_c0	cpd03049_c0 + cpd00213_c0 <=> cpd00836_c0 + cpd00056_c0	6666666.378008.peg.670;6666666.378008.peg.669;
rxn01452_c0	S_3_Hydroxybutanoyl_CoA_NADP_plus__oxidoreductase_c0	cpd00842_c0 + cpd00006_c0 <=> cpd00279_c0 + cpd00067_c0 + cpd00005_c0	6666666.378008.peg.3567;
rxn00642_c0	GDP_mannose_4_6_hydro_lyase_GDP_4_dehydro_6_deoxy_D_mannose_forming_c0	cpd00083_c0 --> cpd00900_c0 + cpd00001_c0	6666666.378008.peg.4587;
rxn00973_c0	citrate_hydroxymutase_c0	cpd00137_c0 <=> cpd00260_c0	
rxn02000_c0	dTDP_4_dehydro_6_deoxy_D_glucose_3_5_epimerase_c0	cpd00521_c0 <=> cpd00522_c0	6666666.378008.peg.536;
rxn03239_c0	S_3_Hydroxyhexadecanoyl_CoA_NAD_plus__oxidoreductase_c0	cpd03113_c0 + cpd00003_c0 <=> cpd00067_c0 + cpd03114_c0 + cpd00004_c0	6666666.378008.peg.4118;
rxn11962_c0	R02670_c0	4.0 cpd00007_c0 + 2.0 cpd00483_c0 <=> cpd03351_c0 + 2.0 cpd00025_c0 + 2.0 cpd00532_c0 + 2.0 cpd00067_c0	
rxn05457_c0	Acyl_carrier_protein_acetyltransferase_c0	cpd00010_c0 + cpd11466_c0 <=> cpd01695_c0 + cpd11493_c0	
rxn04271_c0	trans_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0	cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> cpd00004_c0 + cpd08740_c0 + 2.0 cpd00067_c0	6666666.378008.peg.2268;
rxn13783_c0	DNA_replication_c0	 --> cpd17042_c0	6666666.378008.peg.801;6666666.378008.peg.2728;6666666.378008.peg.3994;6666666.378008.peg.3588;6666666.378008.peg.3737;6666666.378008.peg.1417;6666666.378008.peg.3431;6666666.378008.peg.4668;6666666.378008.peg.148;6666666.378008.peg.2292;6666666.378008.peg.2534;6666666.378008.peg.36;6666666.378008.peg.2100;6666666.378008.peg.3728;6666666.378008.peg.2225;6666666.378008.peg.3198;6666666.378008.peg.3995;6666666.378008.peg.1428;6666666.378008.peg.5;6666666.378008.peg.4254;6666666.378008.peg.63;6666666.378008.peg.2700;
rxn10118_c0	hydrogenase_ubiquinone_8__2_protons_periplasm_c0	cpd11640_c0 + 2.0 cpd00067_c0 + cpd15560_c0 --> 2.0 cpd00067_e0 + cpd15561_c0	6666666.378008.peg.3923;
rxn05392_c0	7_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11528_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11529_c0	6666666.378008.peg.1198;6666666.378008.peg.4759;6666666.378008.peg.957;6666666.378008.peg.2887;6666666.378008.peg.3755;
rxn04070_c0	pyridoxine_5_phosphate_synthase_c0	cpd08449_c0 + cpd08289_c0 --> 2.0 cpd00001_c0 + cpd00478_c0 + cpd00009_c0 + cpd00067_c0	6666666.378008.peg.2514;
rxn00199_c0	oxalosuccinate_carboxy_lyase_2_oxoglutarate_forming_c0	cpd00067_c0 + cpd03187_c0 --> cpd00011_c0 + cpd00024_c0	6666666.378008.peg.4677;
rxn03433_c0	S_3_Hydroxyisobutyryl_CoA_hydrolase_c0	cpd03572_c0 + cpd00001_c0 --> cpd00067_c0 + cpd00876_c0 + cpd00010_c0	6666666.378008.peg.1957;
rxn10231_c0	isohexadecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0	cpd15688_c0 + cpd00054_c0 --> 2.0 cpd00067_c0 + cpd15694_c0 + cpd00046_c0	6666666.378008.peg.310;
rxn12637_c0	RXN0_6987c_c0	cpd11589_c0 + cpd00001_c0 <=> cpd00041_c0 + cpd00033_c0	6666666.378008.peg.1300;6666666.378008.peg.2861;6666666.378008.peg.2303;6666666.378008.peg.157;6666666.378008.peg.1363;
rxn03046_c0	ATP_guanidinoethyyl_methyl_phosphate_phosphotransferase_c0	cpd02519_c0 + cpd00002_c0 <=> cpd02744_c0 + cpd00008_c0 + cpd00067_c0	6666666.378008.peg.2291;
rxn09240_c0	Sulfate_adenyltransferase_c0	cpd00038_c0 + cpd00048_c0 + cpd00001_c0 + cpd00002_c0 --> cpd00031_c0 + cpd00193_c0 + cpd00009_c0 + cpd00012_c0 + cpd00067_c0	6666666.378008.peg.940;6666666.378008.peg.939;
rxn01219_c0	ATP_dCMP_phosphotransferase_c0	cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0	6666666.378008.peg.281;
rxn00519_c0	ITP_oxaloacetate_carboxy_lyase_adding_ITP_phosphoenolpyruvate_forming_c0	cpd00068_c0 + cpd00032_c0 <=> cpd00011_c0 + cpd00090_c0 + cpd00061_c0	6666666.378008.peg.2218;
rxn00258_c0	Malonyl_CoA_pyruvate_carboxytransferase_c0	cpd00020_c0 + cpd00070_c0 <-- cpd00022_c0 + cpd00032_c0	6666666.378008.peg.2045;
rxn00800_c0	N6_1_2_dicarboxyethylAMP_AMP_lyase_fumarate_forming_c0	cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0	
rxn09177_c0	R_4_Phosphopantothenate_L_cysteine_ligase_c0	cpd00084_c0 + cpd00052_c0 + cpd02201_c0 --> cpd00046_c0 + cpd02666_c0 + cpd00012_c0 + 2.0 cpd00067_c0	6666666.378008.peg.2218;
rxn00179_c0	ATP_L_glutamate_5_phosphotransferase_c0	cpd00002_c0 + cpd00023_c0 <=> cpd00008_c0 + cpd02097_c0	
rxn02945_c0	prephytoene_diphosphate_geranylgeranyl_diphosphate_geranylgeranyltransferase_c0	cpd02168_c0 --> cpd00012_c0 + cpd00067_c0 + cpd03211_c0	6666666.378008.peg.1388;6666666.378008.peg.2230;
rxn00730_c0	Malonyl_CoA_anthranilate_N_malonyltransferase_c0	cpd00093_c0 + cpd00070_c0 <=> cpd02014_c0 + cpd00010_c0	
rxn01218_c0	2_Deoxycytidine_5_monophosphate_phosphohydrolase_c0	cpd00206_c0 + cpd00001_c0 --> cpd00654_c0 + cpd00009_c0	
rxn05367_c0	6_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11503_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11504_c0	6666666.378008.peg.1198;6666666.378008.peg.4759;6666666.378008.peg.2887;6666666.378008.peg.3755;6666666.378008.peg.957;
rxn03456_c0	cyclohexane_1_2_dione_acylhydrolase_decyclizing_c0	cpd03640_c0 + cpd00067_c0 <=> cpd03643_c0 + cpd00001_c0	6666666.378008.peg.1967;
rxn03360_c0	5_Hydroxykynurenamine_decarboxy_lyase_c0	cpd00011_c0 + cpd03349_c0 <=> cpd03362_c0 + cpd00067_c0	6666666.378008.peg.3978;6666666.378008.peg.4597;
rxn02898_c0	O_Succinylbenzoyl_CoA_1_4_dihydroxy_2_naphthoate_lyase_c0	cpd02021_c0 --> cpd00010_c0 + cpd02295_c0	
rxn05654_c0	Transport_of_succinate__extracellular_c0	cpd00036_e0 + cpd00067_e0 <=> cpd00067_c0 + cpd00036_c0	6666666.378008.peg.1430;
rxn00545_c0	ATP_D_fructose_6_phosphate_1_phosphotransferase_c0	cpd00072_c0 + cpd00002_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00290_c0	6666666.378008.peg.986;
rxn08807_c0	Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C16_1_periplasm_c0	cpd15317_c0 + cpd00001_c0 <=> cpd00067_c0 + cpd00908_c0 + cpd15237_c0	6666666.378008.peg.741;
rxn00501_c0	3_Oxopropanoate_NAD_plus__oxidoreductase_decarboxylating__CoA_acetylating_c0	cpd00003_c0 + cpd00191_c0 + cpd00010_c0 <=> cpd00011_c0 + cpd00004_c0 + cpd00022_c0	6666666.378008.peg.1969;
rxn10344_c0	Lead_Pb_plus_2_ABC_transporter_c0	cpd00002_c0 + cpd00001_c0 + cpd04097_c0 --> cpd04097_e0 + cpd00067_c0 + cpd00008_c0 + cpd00009_c0	6666666.378008.peg.3062;6666666.378008.peg.2594;
rxn01547_c0	Guanosine_aminohydrolase_c0	cpd00311_c0 + cpd00067_c0 + cpd00001_c0 <=> cpd00013_c0 + cpd01217_c0	6666666.378008.peg.2012;
rxn02320_c0	5_Amino_2_oxopentanoate_2_oxoglutarate_aminotransferase_c0	cpd00807_c0 + cpd00024_c0 <=> cpd00930_c0 + cpd00023_c0	
rxn03384_c0	Uroporphyrinogen_I_carboxy_lyase_c0	cpd03414_c0 + 4.0 cpd00067_c0 <=> 4.0 cpd00011_c0 + cpd03416_c0	6666666.378008.peg.1220;
rxn04996_c0	dimethyallyl_diphosphate_NADP_plus__oxidoreductase_c0	cpd00005_c0 + cpd08615_c0 + cpd00067_c0 --> cpd00001_c0 + cpd00202_c0 + cpd00006_c0	
rxn00262_c0	L_Aspartic_acid_oxygen_oxidoreductase_deaminating_c0	cpd00007_c0 + cpd00001_c0 + cpd00041_c0 --> cpd00013_c0 + cpd00025_c0 + cpd00032_c0	6666666.378008.peg.2050;
rxn05404_c0	13_methyl_tetra_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11540_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11541_c0	6666666.378008.peg.3755;6666666.378008.peg.4759;6666666.378008.peg.2887;6666666.378008.peg.957;6666666.378008.peg.1198;
rxn02796_c0	chenodeoxycholoyltaurine_amidohydrolase_c0	cpd00001_c0 + cpd03246_c0 <=> cpd00210_c0 + cpd01663_c0	6666666.378008.peg.4722;
rxn10262_c0	isopentadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase_c0	cpd00080_c0 + cpd15686_c0 <=> cpd00046_c0 + cpd15719_c0	6666666.378008.peg.2294;6666666.378008.peg.710;
rxn10126_c0	succinate_dehyrdogenase_c0	cpd00982_c0 + cpd15560_c0 --> cpd00067_c0 + cpd15561_c0 + cpd00015_c0	6666666.378008.peg.2274;6666666.378008.peg.2275;
rxn04048_c0	cobalt_precorrin_4_methyltransferase_c0	cpd00017_c0 + cpd08370_c0 <=> cpd00067_c0 + cpd08371_c0 + cpd00019_c0	
rxn10225_c0	isohexadecanoyl_phosphatidate_cytidylyltransferase_c0	cpd00052_c0 + cpd15682_c0 <=> cpd00012_c0 + cpd15688_c0 + cpd00067_c0	
rxn01486_c0	trans_trans_Farnesyl_diphosphate_isopentenyl_diphosphate_farnesyltranstransferase_c0	cpd00350_c0 + cpd00113_c0 --> cpd00012_c0 + cpd00289_c0 + cpd00067_c0	6666666.378008.peg.1388;6666666.378008.peg.2230;
rxn00898_c0	2_3_Dihydroxy_3_methylbutanoate_hydro_lyase_c0	cpd02498_c0 --> cpd00123_c0 + cpd00001_c0	6666666.378008.peg.716;
rxn05444_c0	15_methyl_trans_hexa_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00067_c0 + cpd11543_c0 + cpd00004_c0 --> cpd11544_c0 + cpd00003_c0	6666666.378008.peg.1675;6666666.378008.peg.1473;6666666.378008.peg.557;6666666.378008.peg.3316;
rxn10205_c0	isoheptadecanoyl_glycerol_3_phosphate_O_acyltransferase_c0	cpd11432_c0 + cpd00080_c0 --> cpd15671_c0 + cpd00010_c0	
rxn05040_c0	D_ribulose_5_phosphate_formate_lyase_L_3_4_dihydroxybutan_2_one_4_phosphate_forming_c0	cpd00171_c0 --> cpd11225_c0 + cpd00047_c0 + cpd00067_c0	6666666.378008.peg.72;
rxn05400_c0	11_methyl_dodecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11536_c0 + cpd11492_c0 --> cpd11537_c0 + cpd11493_c0 + cpd00011_c0	6666666.378008.peg.3755;6666666.378008.peg.4759;6666666.378008.peg.2887;6666666.378008.peg.957;6666666.378008.peg.1198;
rxn02090_c0	Creatinine_iminohydrolase_c0	cpd00585_c0 + cpd00001_c0 + cpd00067_c0 <=> cpd01679_c0 + cpd00013_c0	
rxn08556_c0	sn_glycerol_3_phosphate_ubiquinone_8_oxidoreductase_c0	cpd00080_c0 + cpd15560_c0 --> cpd15561_c0 + cpd00095_c0	6666666.378008.peg.1856;
rxn01750_c0	CDPglucose_4_6_hydro_lyase_c0	cpd00390_c0 --> cpd00897_c0 + cpd00001_c0	
rxn02988_c0	glycerone_phosphate_iminosuccinate_alkyltransferase_cyclizing_c0	cpd03470_c0 + cpd00095_c0 --> cpd02333_c0 + cpd00009_c0 + 2.0 cpd00001_c0	6666666.378008.peg.2047;
rxn10228_c0	isotetradecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0	cpd00054_c0 + cpd15685_c0 --> cpd15691_c0 + 2.0 cpd00067_c0 + cpd00046_c0	6666666.378008.peg.310;
rxn05814_c0	ATP_nucleoside_phosphate_phosphotransferase_c0	cpd00002_c0 + cpd12232_c0 <=> cpd00008_c0 + cpd00354_c0	6666666.378008.peg.1201;
rxn00539_c0	ethanolamine_ammonia_lyase_acetaldehyde_forming_c0	cpd00162_c0 --> cpd00071_c0 + cpd00013_c0	
rxn00678_c0	S_2_Methyl_3_oxopropanoyl_CoA_pyruvate_carboxyltransferase_c0	cpd00020_c0 + cpd00519_c0 <=> cpd00086_c0 + cpd00032_c0	6666666.378008.peg.2045;
rxn00001_c0	diphosphate_phosphohydrolase_c0	cpd00012_c0 + cpd00001_c0 --> 2.0 cpd00009_c0 + cpd00067_c0	6666666.378008.peg.1476;
