Reaction id	Reaction name	stoichiometry	Genes
rxn02201_c0	2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_diphosphate_4_aminobenzoate_2_amino_4_hydroxydihydropteridine_6_methenyltransferase_c0	cpd00443_c0 + cpd02920_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00683_c0	6666666.293523.peg.3426;
rxn00351_c0	gamma_L_glutamyl_L_cysteine_glycine_ligase_ADP_forming_c0	cpd00002_c0 + cpd00033_c0 + cpd00506_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00042_c0 + cpd00067_c0	6666666.293523.peg.3713;
rxn07431_c0	R07600_c0	cpd00213_c0 + cpd14700_c0 <=> cpd00056_c0 + cpd02700_c0	6666666.293523.peg.1462;6666666.293523.peg.1461;
rxn00390_c0	N_Acyl_L_aspartate_amidohydrolase_c0	cpd00001_c0 + cpd01759_c0 <=> cpd00041_c0 + cpd00049_c0	6666666.293523.peg.842;
rxn08180_c0	Biotin_synthase_c0	cpd00017_c0 + cpd00074_c0 + cpd01311_c0 --> cpd00060_c0 + cpd00067_c0 + cpd00104_c0 + cpd03091_c0	6666666.293523.peg.2316;
rxn11567_c0	beta_D_Galactosyl_1_4_beta_D_glucosylceramide_galactohydrolase_c0	cpd00001_c0 + cpd00947_c0 --> cpd00108_c0 + cpd00878_c0	6666666.293523.peg.1721;6666666.293523.peg.1477;
rxn00423_c0	acetyl_CoA_L_serine_O_acetyltransferase_c0	cpd00022_c0 + cpd00054_c0 --> cpd00010_c0 + cpd00722_c0	6666666.293523.peg.3712;6666666.293523.peg.3266;6666666.293523.peg.1530;
rxn00364_c0	ATP_CMP_phosphotransferase_c0	cpd00002_c0 + cpd00046_c0 + cpd00067_c0 <=> cpd00008_c0 + cpd00096_c0	6666666.293523.peg.407;
rxn05561_c0	Transport_of_dicarboxylates__extracellular_c0	cpd00067_e0 + cpd00106_e0 <=> cpd00067_c0 + cpd00106_c0	6666666.293523.peg.3763;
rxn03408_c0	UDP_N_acetyl_D_glucosamine_undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_gamma_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_4_beta_N_acetylglucosaminlytransferase_c0	cpd00037_c0 + cpd03494_c0 <=> cpd00014_c0 + cpd03495_c0	6666666.293523.peg.1113;
rxn05250_c0	FACOAL160ISO_c0	cpd00002_c0 + cpd00010_c0 + cpd11440_c0 --> cpd00012_c0 + cpd00018_c0 + cpd11441_c0	6666666.293523.peg.3439;6666666.293523.peg.1174;
rxn00646_c0	L_glutamate_L_cysteine_gamma_ligase_ADP_forming_c0	cpd00002_c0 + cpd00023_c0 + cpd00084_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00506_c0	6666666.293523.peg.1065;
rxn05440_c0	7_methyl_trans_oct_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00004_c0 + cpd00067_c0 + cpd11527_c0 --> cpd00003_c0 + cpd11528_c0	6666666.293523.peg.1805;6666666.293523.peg.2894;
rxn01673_c0	ATP_dCDP_phosphotransferase_c0	cpd00002_c0 + cpd00533_c0 <=> cpd00008_c0 + cpd00356_c0	6666666.293523.peg.4144;
rxn00247_c0	ATP_oxaloacetate_carboxy_lyase_transphosphorylatingphosphoenolpyruvate_forming_c0	cpd00002_c0 + cpd00032_c0 --> cpd00008_c0 + cpd00011_c0 + cpd00061_c0	6666666.293523.peg.1472;
rxn05625_c0	nitrite_transport_in_via_proton_symport__reversible_c0	cpd00067_e0 + cpd00075_e0 <=> cpd00067_c0 + cpd00075_c0	6666666.293523.peg.1649;6666666.293523.peg.3052;
rxn02342_c0	R03270_c0	cpd00213_c0 + cpd03049_c0 <=> cpd00056_c0 + cpd00836_c0	6666666.293523.peg.736;6666666.293523.peg.735;
rxn01452_c0	S_3_Hydroxybutanoyl_CoA_NADP_plus__oxidoreductase_c0	cpd00006_c0 + cpd00842_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00279_c0	6666666.293523.peg.2652;
rxn00642_c0	GDP_mannose_4_6_hydro_lyase_GDP_4_dehydro_6_deoxy_D_mannose_forming_c0	cpd00083_c0 --> cpd00001_c0 + cpd00900_c0	6666666.293523.peg.2560;
rxn00022_c0	maltose_glucohydrolase_c0	cpd00001_c0 + cpd00179_c0 --> 2.0 cpd00027_c0	6666666.293523.peg.2415;
rxn00973_c0	citrate_hydroxymutase_c0	cpd00137_c0 <=> cpd00260_c0	
