Metabolite id	metabolite name
cpd00443_c0	ABEE_c0
cpd02920_c0	2_Amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridinediphosphate_c0
cpd00012_c0	PPi_c0
cpd00067_c0	H_plus__c0
cpd00683_c0	Dihydropteroate_c0
cpd00002_c0	ATP_c0
cpd00033_c0	Glycine_c0
cpd00506_c0	gamma_Glutamylcysteine_c0
cpd00008_c0	ADP_c0
cpd00009_c0	Phosphate_c0
cpd00042_c0	GSH_c0
cpd00213_c0	Lipoamide_c0
cpd00056_c0	TPP_c0
cpd00001_c0	H2O_c0
cpd00041_c0	L_Aspartate_c0
cpd00049_c0	Carboxylic_acid_c0
cpd00017_c0	S_Adenosyl_L_methionine_c0
cpd00074_c0	S_c0
cpd01311_c0	Dethiobiotin_c0
cpd00060_c0	L_Methionine_c0
cpd00104_c0	BIOT_c0
cpd03091_c0	5_Deoxyadenosine_c0
cpd00108_c0	Galactose_c0
cpd00878_c0	Glucocerebroside_c0
cpd00022_c0	Acetyl_CoA_c0
cpd00054_c0	L_Serine_c0
cpd00010_c0	CoA_c0
cpd00722_c0	O_Acetyl_L_serine_c0
cpd00046_c0	CMP_c0
cpd00096_c0	CDP_c0
cpd00067_e0	H_plus__e0
cpd00106_e0	Fumarate_e0
cpd00106_c0	Fumarate_c0
cpd00037_c0	UDP_N_acetylglucosamine_c0
cpd03494_c0	Undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_c0
cpd00014_c0	UDP_c0
cpd03495_c0	Undecaprenyl_diphospho_N_acetylmuramoyl__N_acetylglucosamine_L_ala_D_glu_meso_2_6_diaminopimeloyl_D_ala_D_ala_c0
cpd11440_c0	fa6_c0
cpd00018_c0	AMP_c0
cpd11441_c0	fa6coa_c0
cpd00023_c0	L_Glutamate_c0
cpd00084_c0	L_Cysteine_c0
cpd00004_c0	NADH_c0
cpd11527_c0	7_methyl_trans_oct_2_enoyl_ACP_c0
cpd00003_c0	NAD_c0
cpd11528_c0	7_methyl_octanoyl_ACP_c0
cpd00533_c0	dCDP_c0
cpd00356_c0	dCTP_c0
cpd00032_c0	Oxaloacetate_c0
cpd00011_c0	CO2_c0
cpd00061_c0	Phosphoenolpyruvate_c0
cpd00075_e0	Nitrite_e0
cpd00075_c0	Nitrite_c0
cpd03049_c0	2_Hydroxyethyl_ThPP_c0
cpd00836_c0	S_Acetyldihydrolipoamide_c0
cpd00006_c0	NADP_c0
cpd00842_c0	S_3_Hydroxybutyryl_CoA_c0
cpd00005_c0	NADPH_c0
cpd00279_c0	Acetoacetyl_CoA_c0
cpd00083_c0	GDP_mannose_c0
cpd00900_c0	GDP_4_dehydro_D_rhamnose_c0
cpd00027_c0	D_Glucose_c0
cpd00137_c0	Citrate_c0
cpd00260_c0	Isocitrate_c0
cpd00521_c0	dTDP_4_oxo_6_deoxy_D_glucose_c0
cpd00522_c0	dTDP_4_oxo_L_rhamnose_c0
cpd03113_c0	S_3_Hydroxyhexadecanoyl_CoA_c0
cpd03114_c0	3_Oxopalmitoyl_CoA_c0
cpd00007_c0	O2_c0
cpd00483_c0	3_Hydroxyanthranilate_c0
cpd00025_c0	H2O2_c0
cpd00532_c0	O2__c0
cpd03351_c0	Cinnavalininate_c0
cpd00039_c0	L_Lysine_c0
cpd11466_c0	Myristoyl_ACP_c0
cpd01695_c0	Myristoyl_CoA_c0
cpd11493_c0	ACP_c0
cpd08739_c0	trans_2_Methyl_5_isopropylhexa_2_5_dienal_c0
cpd08740_c0	trans_2_Methyl_5_isopropylhexa_2_5_dienoic_acid_c0
cpd17042_c0	DNA_replication_c0
cpd11640_c0	H2_c0
cpd15560_c0	Ubiquinone_8_c0
cpd15561_c0	Ubiquinol_8_c0
cpd11492_c0	Malonyl_acyl_carrierprotein__c0
cpd11529_c0	9_methyl_3_oxo_decanoyl_ACP_c0
cpd08289_c0	1_deoxy_D_xylulose5_phosphate_c0
cpd08449_c0	3_Amino_2_oxopropyl_phosphate_c0
cpd00478_c0	Pyridoxine_phosphate_c0
cpd03187_c0	Oxalosuccinate_c0
cpd00024_c0	2_Oxoglutarate_c0
cpd15688_c0	CDP_1_2_diisohexadecanoylglycerol_c0
cpd15694_c0	Diisohexadecanoylphosphatidylserine_c0
cpd11589_c0	gly_asp_L_c0
cpd02519_c0	Guanidinoethyl_methyl_phosphate_c0
cpd02744_c0	N_Phosphoguanidinoethyl_methyl_phosphate_c0
cpd00038_c0	GTP_c0
cpd00048_c0	Sulfate_c0
cpd00031_c0	GDP_c0
cpd00193_c0	APS_c0
cpd00206_c0	dCMP_c0
cpd00068_c0	ITP_c0
cpd00090_c0	IDP_c0
cpd00020_c0	Pyruvate_c0
cpd00070_c0	Malonyl_CoA_c0
cpd02375_c0	Adenylosuccinate_c0
cpd00052_c0	CTP_c0
cpd02201_c0	4_phosphopantothenate_c0
cpd02666_c0	R_4_Phosphopantothenoyl_L_cysteine_c0
cpd00026_c0	UDP_glucose_c0
cpd02097_c0	L_Glutamyl_5_phosphate_c0
cpd02168_c0	Prephytoene_diphosphate_c0
cpd03211_c0	15_cis_Phytoene_c0
cpd00201_c0	10_Formyltetrahydrofolate_c0
cpd00093_c0	Anthranilate_c0
cpd02014_c0	N_Malonylanthranilate_c0
cpd00477_c0	N_Acetyl_L_glutamate_c0
cpd00654_c0	Deoxycytidine_c0
cpd11503_c0	6_methyl_octanoyl_ACP_c0
cpd11504_c0	8_methyl_3_oxo_decanoyl_ACP_c0
cpd03349_c0	5_Hydroxykynurenamine_c0
cpd03362_c0	5_Hydroxykynurenine_c0
cpd00036_c0	Succinate_c0
cpd02021_c0	Succinylbenzoyl_CoA_c0
cpd02295_c0	1_4_Dihydroxy_2_naphthoate_c0
cpd00036_e0	Succinate_e0
cpd00072_c0	D_fructose_6_phosphate_c0
cpd00290_c0	D_fructose_1_6_bisphosphate_c0
cpd00908_c0	Glycerophosphoethanolamine_c0
cpd15237_c0	hexadecenoate_c0
cpd00191_c0	3_Oxopropanoate_c0
cpd04097_c0	Pb_c0
cpd04097_e0	Pb_e0
