Reaction id	Reaction name	stoichiometry	Genes
rxn02201_c0	2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_diphosphate_4_aminobenzoate_2_amino_4_hydroxydihydropteridine_6_methenyltransferase_c0	cpd00443_c0 + cpd02920_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00683_c0	6666666.308629.peg.1714;
rxn00351_c0	gamma_L_glutamyl_L_cysteine_glycine_ligase_ADP_forming_c0	cpd00002_c0 + cpd00033_c0 + cpd00506_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00042_c0 + cpd00067_c0	6666666.308629.peg.4152;
rxn08180_c0	Biotin_synthase_c0	cpd00017_c0 + cpd00074_c0 + cpd01311_c0 --> cpd00060_c0 + cpd00067_c0 + cpd00104_c0 + cpd03091_c0	
rxn00423_c0	acetyl_CoA_L_serine_O_acetyltransferase_c0	cpd00022_c0 + cpd00054_c0 --> cpd00010_c0 + cpd00722_c0	
rxn00364_c0	ATP_CMP_phosphotransferase_c0	cpd00002_c0 + cpd00046_c0 + cpd00067_c0 <=> cpd00008_c0 + cpd00096_c0	6666666.308629.peg.2639;
rxn03408_c0	UDP_N_acetyl_D_glucosamine_undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_gamma_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_4_beta_N_acetylglucosaminlytransferase_c0	cpd00037_c0 + cpd03494_c0 <=> cpd00014_c0 + cpd03495_c0	
rxn05250_c0	FACOAL160ISO_c0	cpd00002_c0 + cpd00010_c0 + cpd11440_c0 --> cpd00012_c0 + cpd00018_c0 + cpd11441_c0	6666666.308629.peg.2861;
rxn00646_c0	L_glutamate_L_cysteine_gamma_ligase_ADP_forming_c0	cpd00002_c0 + cpd00023_c0 + cpd00084_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00506_c0	6666666.308629.peg.2942;
rxn05440_c0	7_methyl_trans_oct_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00004_c0 + cpd00067_c0 + cpd11527_c0 --> cpd00003_c0 + cpd11528_c0	6666666.308629.peg.3236;
rxn01673_c0	ATP_dCDP_phosphotransferase_c0	cpd00002_c0 + cpd00533_c0 <=> cpd00008_c0 + cpd00356_c0	6666666.308629.peg.531;
rxn05625_c0	nitrite_transport_in_via_proton_symport__reversible_c0	cpd00067_e0 + cpd00075_e0 <=> cpd00067_c0 + cpd00075_c0	
rxn01452_c0	S_3_Hydroxybutanoyl_CoA_NADP_plus__oxidoreductase_c0	cpd00006_c0 + cpd00842_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00279_c0	
rxn00642_c0	GDP_mannose_4_6_hydro_lyase_GDP_4_dehydro_6_deoxy_D_mannose_forming_c0	cpd00083_c0 --> cpd00001_c0 + cpd00900_c0	6666666.308629.peg.457;
rxn00973_c0	citrate_hydroxymutase_c0	cpd00137_c0 <=> cpd00260_c0	
rxn02000_c0	dTDP_4_dehydro_6_deoxy_D_glucose_3_5_epimerase_c0	cpd00521_c0 <=> cpd00522_c0	
rxn11962_c0	R02670_c0	4.0 cpd00007_c0 + 2.0 cpd00483_c0 <=> 2.0 cpd00025_c0 + 2.0 cpd00067_c0 + 2.0 cpd00532_c0 + cpd03351_c0	
rxn05457_c0	Acyl_carrier_protein_acetyltransferase_c0	cpd00010_c0 + cpd11466_c0 <=> cpd01695_c0 + cpd11493_c0	
rxn04271_c0	trans_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0	cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd08740_c0	6666666.308629.peg.3765;
rxn13783_c0	DNA_replication_c0	 --> cpd17042_c0	6666666.308629.peg.1705;6666666.308629.peg.100;6666666.308629.peg.2;6666666.308629.peg.845;6666666.308629.peg.2542;6666666.308629.peg.5;6666666.308629.peg.1494;6666666.308629.peg.150;6666666.308629.peg.2025;6666666.308629.peg.3629;6666666.308629.peg.815;6666666.308629.peg.3320;6666666.308629.peg.3650;6666666.308629.peg.3396;6666666.308629.peg.1;6666666.308629.peg.3285;6666666.308629.peg.2133;6666666.308629.peg.2645;6666666.308629.peg.3395;
rxn10118_c0	hydrogenase_ubiquinone_8__2_protons_periplasm_c0	2.0 cpd00067_c0 + cpd11640_c0 + cpd15560_c0 --> 2.0 cpd00067_e0 + cpd15561_c0	6666666.308629.peg.294;
